grid_id,x_utm,y_utm,longitude,latitude,elevation_m,slope_deg,low_lying_score,soil_clay_0_5cm,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_police_m,dist_to_fire_station_m
CHN_G1725,403250.0,1441250.0,80.107718,13.035668,20.88,0.95,0.634,321.0,0.872,0.0,0.127,50,2722.9,3146.0,3295.5,871.4,15392.0,31856.5,0.0,0,0.0,334.8,4,738.9,7922.8
CHN_G1726,403750.0,1441250.0,80.112329,13.035683,22.39,2.62,0.517,327.0,0.623,0.0,0.345,50,2229.1,3150.2,2939.4,706.8,14896.3,32186.1,0.0,0,0.0,162.7,4,241.7,7530.8
CHN_G1727,404250.0,1441250.0,80.11694,13.035699,26.18,7.68,0.269,327.0,0.62,0.0,0.374,50,1739.0,3148.7,2625.2,763.7,14400.9,32520.1,0.0,0,0.0,391.0,5,266.2,7152.4
CHN_G1728,404750.0,1441250.0,80.12155,13.035715,18.75,1.08,0.676,5.0,0.91,0.0,0.083,50,1256.6,3217.3,2294.0,923.4,13905.9,32858.2,0.0,0,0.0,297.5,3,763.7,6789.7
CHN_G1729,405250.0,1441250.0,80.126161,13.03573,21.26,0.85,0.482,329.0,0.864,0.0,0.133,50,796.2,2951.9,1971.4,1053.9,13411.2,33200.3,0.0,0,0.0,305.9,2,988.3,6445.4
CHN_G1730,405750.0,1441250.0,80.130772,13.035746,20.51,2.61,0.508,7.0,0.897,0.0,0.094,50,434.6,2625.9,1645.2,1236.3,12917.0,33546.1,0.0,0,0.0,422.3,2,684.3,6122.6
CHN_G1731,406250.0,1441250.0,80.135383,13.035761,18.86,1.22,0.577,80.0,0.91,0.0,0.084,50,249.8,2361.6,1423.7,1263.6,12423.2,33890.8,28.1,0,0.0,78.3,5,678.1,5824.9
CHN_G1732,406750.0,1441250.0,80.139994,13.035777,18.52,3.62,0.573,54.0,0.506,0.0,0.484,50,246.9,2181.4,1359.1,1324.7,11929.9,34229.2,241.1,0,0.0,232.8,5,975.3,5556.4
CHN_G1733,407250.0,1441250.0,80.144605,13.035792,16.39,1.1,0.688,322.0,0.361,0.01,0.609,50,216.9,2105.7,1472.2,1462.8,11437.2,34571.5,1254.1,0,0.0,183.4,4,1393.8,5321.3
CHN_G1734,407750.0,1441250.0,80.149216,13.035807,16.0,2.42,0.704,233.0,0.401,0.424,0.114,80,72.3,2107.0,1728.5,1718.6,10945.2,34917.6,6526.0,0,0.0,547.2,4,1195.0,5124.4
CHN_G1735,408250.0,1441250.0,80.153827,13.035822,19.41,2.06,0.486,233.0,0.74,0.18,0.063,50,14.9,2181.2,1636.2,2065.7,10453.9,35267.4,13824.5,0,0.0,324.7,3,703.6,4970.2
CHN_G1736,408750.0,1441250.0,80.158438,13.035837,19.7,0.52,0.45,46.0,0.924,0.003,0.05,50,10.2,2361.2,1321.9,2465.9,9963.5,35620.8,19953.3,0,0.0,199.8,4,249.5,4862.7
CHN_G1737,409250.0,1441250.0,80.163049,13.035852,18.97,2.21,0.485,107.0,0.969,0.0,0.026,50,16.3,2624.8,1148.0,2897.3,9474.1,35977.7,24298.0,355,42206.5,156.2,6,354.4,4805.2
CHN_G1738,409750.0,1441250.0,80.16766,13.035867,19.1,3.26,0.472,107.0,0.867,0.0,0.126,50,4.7,2949.5,1127.0,2576.1,8985.9,36337.9,16221.8,241,32447.0,274.4,8,824.5,4799.3
CHN_G1739,410250.0,1441250.0,80.172271,13.035882,17.49,2.38,0.55,107.0,0.81,0.002,0.172,50,4.7,2819.6,1182.2,2292.6,8499.0,36701.4,14041.9,301,36031.8,279.6,11,860.2,4845.2
CHN_G1740,410750.0,1441250.0,80.176882,13.035897,16.22,1.56,0.602,278.0,0.906,0.0,0.086,50,45.1,2604.1,1245.0,1939.3,8013.8,37068.1,13258.9,219,24247.8,488.2,13,510.9,4941.6
CHN_G1741,411250.0,1441250.0,80.181493,13.035911,16.69,2.72,0.548,64.0,0.814,0.0,0.183,50,102.4,2472.3,1246.7,1563.8,7530.5,37437.7,9500.0,201,24228.1,105.7,17,531.1,5085.5
CHN_G1742,411750.0,1441250.0,80.186104,13.035926,16.49,1.76,0.534,64.0,0.972,0.0,0.026,50,48.6,2437.9,1257.8,1234.4,7049.5,37809.8,12933.3,28,8194.9,70.1,24,896.1,4828.4
CHN_G1743,412250.0,1441250.0,80.190715,13.03594,15.58,1.42,0.572,64.0,0.879,0.0,0.119,50,47.4,2504.9,883.0,948.8,6571.3,38184.8,8245.7,150,12884.0,165.9,19,1087.9,4328.5
CHN_G1744,412750.0,1441250.0,80.195326,13.035954,15.97,3.09,0.528,291.0,0.794,0.0,0.201,50,135.1,2635.5,555.7,803.5,6096.7,38562.6,6432.2,126,15437.5,295.8,21,876.3,3828.7
CHN_G1745,413250.0,1441250.0,80.199937,13.035969,17.86,1.5,0.396,44.0,0.909,0.0,0.084,50,57.0,2758.9,389.5,779.6,5626.5,38943.1,9589.6,319,28441.6,198.4,19,572.7,3328.8
CHN_G1746,413750.0,1441250.0,80.204548,13.035983,13.26,3.0,0.663,44.0,0.554,0.0,0.445,50,11.2,2732.5,63.2,882.5,5161.8,39326.4,6908.9,551,53520.3,303.7,16,619.0,2829.1
CHN_G1747,414250.0,1441250.0,80.209159,13.035997,16.77,0.89,0.454,44.0,0.595,0.0,0.39,50,65.9,2669.6,558.8,993.9,4703.8,39712.2,9174.0,517,39417.1,161.9,24,731.0,2329.4
CHN_G1748,414750.0,1441250.0,80.21377,13.036011,16.15,4.14,0.482,44.0,0.782,0.0,0.21,50,67.8,2693.2,773.9,1168.0,4250.9,40100.6,12125.9,400,30896.3,301.9,23,889.1,1829.9
CHN_G1749,415250.0,1441250.0,80.218381,13.036025,14.99,2.19,0.535,83.0,0.95,0.0,0.05,50,5.9,2803.8,953.0,1448.4,3809.8,40491.4,15336.7,52,9375.5,229.9,21,876.1,1330.8
CHN_G1750,415750.0,1441250.0,80.222992,13.036039,14.68,2.73,0.537,83.0,0.941,0.002,0.054,50,39.0,2894.4,979.5,1801.1,3385.0,40884.6,11682.5,0,0.0,120.4,21,711.5,832.8
CHN_G1751,416250.0,1441250.0,80.227603,13.036053,9.5,4.23,0.83,333.0,0.894,0.0,0.102,50,9.8,3038.6,691.7,1723.9,2983.7,41280.1,10041.4,0,0.0,224.3,21,235.0,340.7
CHN_G1752,416750.0,1441250.0,80.232214,13.036066,18.99,1.19,0.234,333.0,0.931,0.0,0.067,50,43.7,3253.5,572.7,1397.3,2616.6,41677.8,18278.5,0,0.0,172.3,22,322.8,194.7
CHN_G1753,417250.0,1441250.0,80.236825,13.03608,13.33,1.33,0.553,333.0,0.831,0.0,0.165,50,17.7,3526.7,478.0,1163.2,2300.1,42077.8,14039.7,12,15561.1,209.6,25,620.1,673.2
CHN_G1754,417750.0,1441250.0,80.241436,13.036094,13.68,1.16,0.53,168.0,0.882,0.0,0.118,50,95.9,3725.2,234.2,1072.9,1975.1,42479.8,7855.5,35,29500.3,228.1,21,556.8,1169.8
CHN_G1755,418250.0,1441250.0,80.246047,13.036107,11.34,4.39,0.657,37.0,0.802,0.0,0.198,50,36.8,3948.0,164.0,1131.6,1689.6,42883.9,3884.8,81,15962.4,141.8,24,735.8,1297.6
CHN_G1756,418750.0,1441250.0,80.250658,13.03612,12.37,3.8,0.581,37.0,0.907,0.0,0.092,50,25.0,4218.5,635.6,1339.1,1333.3,43290.0,7551.4,271,53739.1,185.7,30,568.7,1263.7
CHN_G1757,419250.0,1441250.0,80.255269,13.036134,13.35,4.0,0.502,37.0,0.777,0.0,0.212,50,10.6,4528.3,1091.1,1663.1,908.2,43698.1,10366.9,509,90298.8,142.2,33,327.1,1417.8
CHN_G1758,419750.0,1441250.0,80.25988,13.036147,12.32,1.3,0.549,213.0,0.788,0.0,0.212,50,6.3,4869.7,1557.6,1574.6,555.3,44108.0,6484.0,480,73286.6,201.2,38,531.3,1709.8
CHN_G1759,420250.0,1441250.0,80.264491,13.03616,12.68,2.49,0.494,213.0,0.7,0.0,0.298,50,63.0,5236.0,2038.1,1366.1,273.3,44519.8,5131.0,579,109372.7,211.1,38,307.8,1618.5
CHN_G1760,420750.0,1441250.0,80.269102,13.036173,9.86,4.65,0.567,213.0,0.877,0.002,0.112,50,19.8,5623.0,2526.0,1296.4,43.8,44933.4,5153.3,610,102545.4,198.9,20,114.6,1197.1
CHN_G1761,421250.0,1441250.0,80.273713,13.036186,13.36,0.78,0.238,57.0,0.9,0.0,0.099,50,332.2,6026.7,3014.0,1359.4,507.6,45348.7,0.0,569,83701.4,105.3,10,387.9,864.0
CHN_G1762,421750.0,1441250.0,80.278324,13.036199,12.58,1.68,0.169,57.0,0.83,0.0,0.067,50,149.0,6441.7,3502.2,1524.1,671.8,45765.8,1487.6,401,90332.0,135.9,3,343.9,748.3
CHN_G1763,422250.0,1441250.0,80.282935,13.036212,0.0,0.0,0.818,57.0,0.0,0.898,0.0,80,511.0,6867.5,3992.1,1742.4,992.6,46184.4,0.0,230,61271.3,566.1,2,509.2,934.6
CHN_G1764,422750.0,1441250.0,80.287547,13.036224,0.0,0.0,0.712,57.0,0.0,1.0,0.0,80,972.6,7224.3,4483.0,2043.8,1410.1,46604.7,0.0,56,16723.5,1059.5,0,948.9,1298.9
CHN_G1765,402250.0,1441750.0,80.09848,13.040156,20.85,0.35,0.722,321.0,0.295,0.0,0.703,40,3696.7,2686.8,4385.4,1797.3,16452.3,30826.7,0.0,118,33894.8,1133.1,0,1820.9,9023.8
CHN_G1766,402750.0,1441750.0,80.103091,13.040172,21.72,1.77,0.64,320.0,0.673,0.0,0.326,50,3197.0,2628.9,4001.5,1573.5,15958.2,31151.2,0.0,141,36107.7,1029.8,0,1352.1,8623.9
CHN_G1767,403250.0,1441750.0,80.107702,13.040188,22.82,1.03,0.547,22.0,0.839,0.0,0.16,50,2697.3,2648.1,3645.8,1310.0,15464.6,31480.3,0.0,20,8238.2,584.8,7,916.8,8235.0
CHN_G1768,403750.0,1441750.0,80.112313,13.040204,22.24,1.16,0.548,22.0,0.933,0.0,0.059,50,2197.9,2652.2,3327.4,1206.8,14971.3,31813.8,0.0,149,33823.4,321.3,7,594.1,7858.7
CHN_G1769,404250.0,1441750.0,80.116924,13.04022,20.28,0.94,0.639,327.0,0.919,0.0,0.08,50,1698.7,2650.4,2998.7,1246.7,14478.5,32151.6,0.0,78,49153.8,483.4,7,604.5,7496.8
CHN_G1770,404750.0,1441750.0,80.121535,13.040236,20.17,1.46,0.608,5.0,0.758,0.0,0.229,50,1200.2,2729.8,2678.3,1416.9,13986.2,32493.5,0.0,196,74269.4,712.3,3,936.9,7151.6
CHN_G1771,405250.0,1441750.0,80.126145,13.040251,21.91,0.48,0.457,5.0,0.892,0.0,0.088,50,703.9,2872.1,2343.8,1525.7,13494.5,32839.1,0.0,276,65288.5,715.9,1,770.2,6825.6
CHN_G1772,405750.0,1441750.0,80.130756,13.040267,19.58,1.84,0.575,242.0,0.875,0.0,0.106,50,222.6,3041.6,2077.0,1693.0,13003.4,33184.5,473.4,397,97624.7,647.9,2,291.0,6521.6
CHN_G1773,406250.0,1441750.0,80.135367,13.040282,18.82,2.17,0.585,248.0,0.739,0.0,0.242,50,107.1,2816.6,1906.3,1763.5,12513.0,33522.5,3262.0,202,51079.4,446.1,5,276.0,6243.0
CHN_G1774,406750.0,1441750.0,80.139978,13.040298,17.4,1.31,0.638,248.0,0.442,0.0,0.545,50,108.4,2667.3,1858.6,1813.2,12023.4,33864.6,2083.5,212,47216.9,269.4,6,753.4,5993.2
CHN_G1775,407250.0,1441750.0,80.14459,13.040313,26.35,2.6,0.089,248.0,0.431,0.0,0.569,10,213.3,2604.8,1942.8,1933.8,11534.7,34210.6,1024.6,0,0.0,237.5,5,1248.6,5776.0
CHN_G1776,407750.0,1441750.0,80.149201,13.040328,16.41,2.52,0.667,75.0,0.698,0.0,0.299,50,39.9,2606.2,2143.6,2133.9,11047.1,34560.3,9074.8,0,0.0,605.5,4,1359.3,5595.1
CHN_G1777,408250.0,1441750.0,80.153812,13.040343,18.35,5.76,0.533,75.0,0.889,0.0,0.101,50,15.9,2667.1,2015.2,2344.0,10560.5,34913.7,11361.7,0,0.0,528.0,3,956.5,5454.2
CHN_G1778,408750.0,1441750.0,80.158423,13.040358,19.74,2.9,0.431,46.0,0.88,0.0,0.113,50,0.4,2816.3,1769.6,2374.7,10075.3,35270.6,15912.5,0,0.0,452.8,4,694.3,5356.5
CHN_G1779,409250.0,1441750.0,80.163034,13.040373,17.24,1.73,0.575,46.0,0.604,0.0,0.385,50,203.1,3041.3,1643.7,2495.5,9591.6,35631.0,4641.6,0,0.0,273.6,6,741.1,5304.2
CHN_G1780,409750.0,1441750.0,80.167645,13.040388,17.94,0.21,0.534,46.0,0.856,0.0,0.137,50,71.4,2726.3,1627.0,2609.2,9109.7,35994.7,8293.6,0,0.0,399.0,6,1054.3,5298.9
CHN_G1781,410250.0,1441750.0,80.172256,13.040403,19.14,3.48,0.453,278.0,0.932,0.002,0.055,50,8.9,2400.8,1681.5,2644.4,8629.8,36361.7,8508.8,0,0.0,150.4,8,1202.8,5340.6
CHN_G1782,410750.0,1441750.0,80.176867,13.040417,16.06,1.44,0.624,278.0,0.88,0.0,0.115,50,6.2,2143.5,1737.8,2270.9,8152.4,36731.5,17966.8,0,0.0,174.1,17,983.7,5428.1
CHN_G1783,411250.0,1441750.0,80.181478,13.040432,17.45,1.96,0.521,278.0,0.894,0.0,0.106,50,14.9,1981.4,1741.0,1937.0,7677.8,37103.9,19504.8,0,0.0,125.9,28,700.1,5360.5
